experiment,module,representation,method,detector,split,seed,raw_auc,auc_floor,direction,ci_low,ci_high,ci_type,clears_size_floor,clears_ocpool,is_headline,is_superseded,artifact_path,summary_path,trace_flag
devread,devread,D0_trained_t22,supervised,HGB_mean_seeds_42_46,splitA_stratified,42-46,0.7910200250312891,0.7910200250312891,malware_higher_score,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
devread,devread,D1_trained_t22,supervised,HGB,splitA_stratified,42,0.950584063412599,0.950584063412599,malware_higher_score,0.9314340842720067,0.9664372131831456,score_bootstrap,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
devread,devread,D1_trained_t22,supervised,HGB_mean_seeds_42_46,splitA_stratified,42-46,0.9492574050896956,0.9492574050896956,malware_higher_score,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
devread,devread,D2_trained_t22,supervised,HGB,splitA_stratified,42,0.9591364205256571,0.9591364205256571,malware_higher_score,0.9427398831873175,0.9731127450980392,score_bootstrap,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
devread,devread,D2_trained_t22,supervised,HGB_mean_seeds_42_46,splitA_stratified,42-46,0.959415936587401,0.959415936587401,malware_higher_score,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
devread,devread,D4_trained_t22,supervised,HGB,splitA_stratified,42,0.9589278264497287,0.9589278264497287,malware_higher_score,0.9422799332498957,0.972549541093033,score_bootstrap,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
devread,devread,D4_trained_t22,supervised,HGB_mean_seeds_42_46,splitA_stratified,42-46,0.959290780141844,0.959290780141844,malware_higher_score,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
devread,devread,D5_trained_t22,supervised,HGB,splitA_stratified,42,0.9563621193158115,0.9563621193158115,malware_higher_score,0.9391739674593242,0.9715279516061743,score_bootstrap,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
devread,devread,D5_trained_t22,supervised,HGB_mean_seeds_42_46,splitA_stratified,42-46,0.9586566541510221,0.9586566541510221,malware_higher_score,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
devread,devread,RAW_full_trained_t22,supervised,HGB,splitA_stratified,42,0.976241134751773,0.976241134751773,malware_higher_score,0.9642245515227368,0.985857843137255,score_bootstrap,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
devread,devread,RAW_full_trained_t22,supervised,HGB_mean_seeds_42_46,splitA_stratified,42-46,0.9745807259073842,0.9745807259073842,malware_higher_score,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/devread/splitA/results_trained.json,abrg/output/androct_2017/devread/SUMMARY.md,
